,do_nothing,mine_minerals,mine_gas,build_assimilator,build_pylon,build_gateway,build_cybercore,train_probe,train_zealot,train_stalker,harass,attack_all
[19  2  0  0 26  1  1  1],0.0013780055442448001,6.913805010529837e-05,0.005516712656267488,0.001852730494508125,0.001605638552014592,0.002568026069065842,0.0023549326527833258,0.0009434216533389285,0.021189638960038393,0.00021554485469820042,0.0010519092778061945,0.0013380222829579868
[19  2  0  0 24  1  1  1],0.007947530985227984,0.02973115142311739,0.018251027343598097,0.0741875937484184,0.024071864338050336,0.00035177501083004847,0.011969092421490631,0.0,0.1928430651749911,0.01653670828238928,0.01326283489898985,0.02813644042285761
[18  2  0  0 24  1  1  1],0.0012757137873884935,2.473319697804833e-05,4.50604760530776e-06,0.0034057162591485416,1.6159206421897993e-05,0.03507904045040704,0.007246240976885865,2.1402191754215865e-05,2.6548883753071978e-05,0.00061972338985603,0.0016781934026977813,0.002819992522715573
[17  2  0  0 24  1  1  1],0.00017499517478340422,0.0018474834902561113,0.0018474834902561113,0.02052759433617901,0.0,0.0,0.001061982026095588,0.0,0.018641125840258434,0.019128932543178073,0.0,8.504313457398186e-06
[17  2  1  0 24  1  1  1],0.012537161109646939,0.023507488526083125,4.421041290634336e-05,1.0637528341029486e-05,0.012384448295449591,1.85641713361697e-05,6.250383889200004e-06,0.0011251968057923018,1.1301319110062528e-05,0.1307751452805217,3.594484702237701e-05,6.250383889200004e-06
[18  2  1  0 24  1  1  1],0.0009792628193465824,0.0072356258077386024,0.012615204755099668,0.8000141713141309,9.504624466103997e-06,5.108376248804272e-06,0.00014672962726778118,0.0002938874936429807,0.0013421368348118263,8.657406724930927e-07,0.07202121483261738,1.1240002844109475e-05
[19  2  1  0 24  1  1  1],2.3820925873653423e-05,3.479720668742951e-05,0.0001321898873214153,0.00022154904828443204,0.0,1.2791887977947161e-05,8.813365374119242e-05,0.07200127541827178,0.00012996274487438815,2.1333381097166608e-05,5.675973609782525e-06,3.637381503798025e-05
[17  2  1  2 20  1  1  1],0.11975541202754762,0.03099875454683058,0.06106254174254943,0.1340297343357742,0.2021337079364929,0.19436822183128996,0.08792471934233144,0.02135278209129339,0.025094086465111007,0.15906994058656276,0.1262294740948099,0.07946457799869884
[19  2  1  2 20  1  1  1],0.12096991420519615,0.02203469605497759,-0.41351446299208544,0.009629395488683357,0.021228133337959698,0.01114506616374987,-0.5625428411882286,0.04556298388186661,0.07217559716547063,0.04591489957179501,0.023570925817364512,0.009516361297675541
[17  2  1  4 16  1  1  1],-0.17212569219081325,0.10090447213799043,0.07925623087303081,0.8874365665215163,0.4242162098054701,0.5888229932666713,0.8896617473368217,0.22968958749182866,1.3809182627999999,0.2572113045971356,0.6453784730831453,-0.07915744411651673
[18  2  1  4 16  1  1  1],0.3052162635584999,0.6846552468414434,1.282744279007155,0.3749420889131421,0.16956459086583328,0.0,0.2740395871997521,1.5350400106567856,0.3708044565610274,-0.29417146747661216,0.48413250324870855,0.5335282422754603
[17  2  1  4 15  1  1  1],0.08867205378826748,0.0137052,0.0,0.5428241889170833,0.5397809590431828,0.36155331065537194,0.022073162589720002,1.5677517549847166,0.5506262693850849,0.05372890889968193,0.11494463096546459,0.12835819656729547
